directory,subdirectory,filename,speaker_id,session_id,utterance_id,transcription,recording_corrupt,comment_transcriptionist,length_sec,recording_id,recording_startpos_sec
sm1,sm1_01,sm1_01_033,sm1,1,33,constellation two two five one rhein identified ,0,,3.49159375,011_0033,1244.875625
sm1,sm1_01,sm1_01_034,sm1,1,34,transwede one zero one contact zurich one three three decimal four ,0,,4.02656250,011_0034,1258.53065625
sm1,sm1_01,sm1_01_035,sm1,1,35,foxtrot sierra india set course to trasadingen ,0,,2.74878125,011_0035,1290.7480625
sm1,sm1_01,sm1_01_036,sm1,1,36,foxtrot sierra india report rate of climb ,0,,2.36784375,011_0036,1309.6366875
sm1,sm1_01,sm1_01_037,sm1,1,37,roger keep this rate until reaching ,0,,1.99809375,011_0037,1315.3980625
sm1,sm1_01,sm1_01_038,sm1,1,38,swissair six five two zero rhein radar do you read ,0,,4.06771875,011_0038,1336.189125
sm1,sm1_01,sm1_01_039,sm1,1,39,foxtrot sierra india contact zurich one three three decimal four ,0,,3.75284375,011_0039,1362.191125
sm1,sm1_01,sm1_01_040,sm1,1,40,olympic one four four rhein identified ,0,,3.28962500,011_0040,1382.917625
sm1,sm1_01,sm1_01_041,sm1,1,41,malaysian two contact rhein one two seven three seven ,0,,3.80221875,011_0041,1389.41071875
sm1,sm1_01,sm1_01_042,sm1,1,42,georgia air rhein radar identified ,0,,3.64925000,011_0042,1403.20271875
sm1,sm1_01,sm1_01_043,sm1,1,43,sobelair two five five seven rhein identified ,0,,2.88446875,011_0043,1420.4170625
sm1,sm1_01,sm1_01_044,sm1,1,44,~k ~l ~m three hundred kilo rhein identified ,0,,20.60365625,011_0044,1437.86475
sm1,sm1_01,sm1_01_045,sm1,1,45,station calling say again ,0,,1.42515625,011_0045,1474.567375
sm1,sm1_01,sm1_01_046,sm1,1,46,transwede one zero seven rhein identified ,0,,2.85462500,011_0046,1479.5065
sm1,sm1_01,sm1_01_047,sm1,1,47,india sierra alfa contact rhein one two seven three seven ,0,,3.93171875,011_0047,1486.97571875
sm1,sm1_01,sm1_01_048,sm1,1,48,alitalia one one seven rhein identified olympic one four four request your heading ,0,,19.24081250,011_0048,1503.51228125
sm1,sm1_01,sm1_01_049,sm1,1,49,olympic one four four turn left heading one one five for separation ,0,,4.99687500,011_0049,1526.41146875
sm1,sm1_01,sm1_01_050,sm1,1,50,jet set eight one seven rhein identified ,0,,2.96621875,011_0050,1578.26621875
sm1,sm1_01,sm1_01_051,sm1,1,51,constellation two two five one contact rhein one three two decimal four ,0,,4.53878125,011_0051,1667.39878125
sm1,sm1_01,sm1_01_052,sm1,1,52,air malta zero zero four rhein radar identified ,0,,3.17528125,011_0052,1688.994375
sm1,sm1_01,sm1_01_053,sm1,1,53,olympic one four four set course direct to tango ,0,,3.14753125,011_0053,1752.55484375
sm1,sm1_01,sm1_01_054,sm1,1,54,sobelair two five five seven request heading ,0,,3.29550000,011_0054,1760.23378125
sm1,sm1_01,sm1_01_055,sm1,1,55,sobelair two five five seven turn left heading one one zero separation ,0,,3.93868750,011_0055,1766.67728125
sm1,sm1_01,sm1_01_056,sm1,1,56,georgia zero three seven contact rhein one two seven three seven ,0,,4.36881250,011_0056,1781.61325
sm1,sm1_01,sm1_01_057,sm1,1,57,viva five eight five rhein radar identified ,0,,3.17593750,011_0057,1837.5213125
sm1,sm1_01,sm1_01_058,sm1,1,58,air malta zero zero four for separation descend flight level three one zero ,0,,4.45928125,011_0058,1854.0516875
sm1,sm1_01,sm1_01_059,sm1,1,59,jet set eight one seven contact rhein one two seven decimal three seven ,0,,4.38262500,011_0059,1902.16034375
sm1,sm1_01,sm1_01_060,sm1,1,60,~k ~l ~m two six four rhein identified ,0,,2.82593750,011_0060,1947.09384375
sm1,sm1_01,sm1_01_061,sm1,1,61,sobelair two five five seven maintain heading contact rhein one three two decimal four ,0,,5.18715625,011_0061,1955.15434375
sm1,sm1_01,sm1_01_062,sm1,1,62,olympic one four four contact rhein one three two decimal four ,0,,4.08653125,011_0062,1972.4700625
sm1,sm1_01,sm1_01_063,sm1,1,63,sabena seven eight one six rhein radar identified ,0,,4.43325000,011_0063,2003.4639375
sm1,sm1_01,sm1_01_064,sm1,1,64,jet set one four two nine rhein identified ,0,,3.61556250,011_0064,2068.17075
sm1,sm1_01,sm1_01_065,sm1,1,65,aero lloyd five nine zero rhein radar identified climb flight level two nine zero ,0,,5.78881250,011_0065,2080.00071875
sm1,sm1_01,sm1_01_066,sm1,1,66,aero lloyd five nine zero direct trasadingen ,0,,2.76234375,011_0066,2104.6265625
sm1,sm1_01,sm1_01_067,sm1,1,67,sabena eight three two rhein confirm your level ,0,,4.05546875,011_0067,2118.44059375
sm1,sm1_01,sm1_01_068,sm1,1,68,roger identified ,0,,2.23578125,011_0068,2125.81865625
sm1,sm1_01,sm1_01_069,sm1,1,69,alitalia one one nine rhein identified ,0,,2.79256250,011_0069,2158.14696875
sm1,sm1_01,sm1_01_070,sm1,1,70,~k ~l ~m three hundred kilo contact rhein one two seven three seven ,0,,4.34625000,011_0070,2163.95225
sm1,sm1_01,sm1_01_071,sm1,1,71,transwede one zero seven contact zurich one three four decimal six ,0,,4.22037500,011_0071,2172.9020625
sm1,sm1_01,sm1_01_072,sm1,1,72,alitalia one one seven zurich one three three decimal four ,0,,4.23681250,011_0072,2180.844
sm1,sm1_01,sm1_01_073,sm1,1,73,alitalia four eight five rhein identified ,0,,3.42490625,011_0073,2200.56959375
sm1,sm1_01,sm1_01_074,sm1,1,74,viva five eight five request heading ,0,,2.70431250,011_0074,2210.622625
sm1,sm1_01,sm1_01_075,sm1,1,75,roger right turn heading zero three zero ,0,,2.48393750,011_0075,2218.32171875
sm1,sm1_01,sm1_01_076,sm1,1,76,lufthansa four six five two rhein radar identified climb flight level two nine zero set course trasadingen ,0,,6.34915625,011_0076,2286.67071875
sm1,sm1_01,sm1_01_077,sm1,1,77,delta india charlie papa alfa rhein radar identified ,0,,3.37803125,011_0077,2313.51096875
sm1,sm1_01,sm1_01_078,sm1,1,78,~p ~s ~a five two six hotel rhein radar identified ,0,,3.23353125,011_0078,2331.46859375
sm1,sm1_01,sm1_01_079,sm1,1,79,viva five eight five turn left to frankfurt ,0,,2.97818750,011_0079,2381.38378125
sm1,sm1_01,sm1_01_080,sm1,1,80,jet set one four two nine contact rhein one two seven decimal three seven ,0,,4.68262500,011_0080,2390.78615625
sm1,sm1_01,sm1_01_081,sm1,1,81,air malta zero zero four rhein radar one two seven three seven ,0,,4.53600000,011_0081,2398.75540625
sm1,sm1_01,sm1_01_082,sm1,1,82,alitalia four zero one ah rhein identified climb flight level two seven zero ,0,,7.17190625,011_0082,2414.015875
sm1,sm1_01,sm1_01_083,sm1,1,83,sabena eight three two contact rhein one two seven three seven ,0,,4.73284375,011_0083,2432.15359375
sm1,sm1_01,sm1_01_084,sm1,1,84,sabena seven eight one six turn left to gotil ,0,,3.07059375,011_0084,2549.76228125
sm1,sm1_01,sm1_01_085,sm1,1,85,viva five eight five contact rhein one two seven decimal three seven ,0,,4.58950000,011_0085,2564.1879375
sm1,sm1_01,sm1_01_086,sm1,1,86,hapag lloyd three five five one rhein identified ,0,,3.70643750,011_0086,2584.29353125
sm1,sm1_01,sm1_01_087,sm1,1,87,britannia triple two alfa rhein identified <OT> <FL> </FL> </OT> ,0,,9.55831250,011_0087,2595.07040625
sm1,sm1_01,sm1_01_088,sm1,1,88,aero lloyd five nine zero contact zurich one three four decimal six ,0,,3.96465625,011_0088,2611.49875
sm1,sm1_01,sm1_01_089,sm1,1,89,britannia triple two alfa proceed direct to kempten ,0,,3.45065625,011_0089,2631.9060625
sm1,sm1_01,sm1_01_090,sm1,1,90,~k ~l ~m two six four contact rhein one two seven three seven ,0,,4.52065625,011_0090,2652.25440625
sm1,sm1_01,sm1_01_091,sm1,1,91,sabena seven eight one six rhein one two seven three seven ,0,,4.85125000,011_0091,2661.14315625
sm1,sm1_01,sm1_01_092,sm1,1,92,belstar five zero two hotel rhein identified ,0,,2.61462500,011_0092,2677.96203125
sm1,sm1_01,sm1_01_093,sm1,1,93,gulf air zero zero seven rhein identified ,0,,2.82150000,011_0093,2690.37975
sm1,sm1_01,sm1_01_094,sm1,1,94,lufthansa four six five two zurich radar one three four decimal six ,0,,4.31056250,011_0094,2702.054375
sm1,sm1_01,sm1_01_095,sm1,1,95,lufthansa four four one six rhein identified stand by for higher turn ah left by one five degrees ,0,,7.78765625,011_0095,2723.03709375
sm1,sm1_01,sm1_01_096,sm1,1,96,alitalia four zero one climb flight level two nine zero ,0,,3.49006250,011_0096,2748.34909375
sm1,sm1_01,sm1_01_097,sm1,1,97,lufthansa four four one six climb flight level two nine zero ,0,,3.25300000,011_0097,2781.8555625
sm1,sm1_01,sm1_01_098,sm1,1,98,alitalia station co= ah alitalia four eight seven i got it you're identified ,0,,4.57668750,011_0098,2800.20103125
sm1,sm1_01,sm1_01_099,sm1,1,99,speedbird one two four rhein identified ,0,,3.21353125,011_0099,2811.7715
sm1,sm1_01,sm1_01_100,sm1,1,100,delta india mike lima lima rhein radar identified ,0,,3.29771875,011_0100,2822.83084375
sm1,sm1_01,sm1_01_101,sm1,1,101,~p ~s ~a five two six hotel contact rhein one ah three two decimal four ,0,,5.81628125,011_0101,2837.29890625
sm1,sm1_01,sm1_01_102,sm1,1,102,lufthansa four four one six right turn to trasadingen ,0,,3.08484375,011_0102,2848.5468125
sm1,sm1_01,sm1_01_103,sm1,1,103,alitalia one one nine zurich one three four decimal six ,0,,3.68671875,011_0103,2866.09521875
sm1,sm1_01,sm1_01_104,sm1,1,104,alitalia four eight five zurich one three three decimal four ,0,,3.65625000,011_0104,2874.36878125
sm1,sm1_01,sm1_01_105,sm1,1,105,netherlands air force three four identified ,0,,3.75503125,011_0105,2887.78146875
sm1,sm1_01,sm1_01_106,sm1,1,106,three five sorry ,0,,0.88418750,011_0106,2892.900875
sm1,sm1_01,sm1_01_107,sm1,1,107,oscar oscar papa hotel india rhein radar identified ,0,,3.17778125,011_0107,2905.97934375
sm1,sm1_01,sm1_01_108,sm1,1,108,turkish five one five rhein identified ,0,,3.67775000,011_0108,2921.31153125
sm1,sm1_01,sm1_01_109,sm1,1,109,alitalia four zero one contact zurich one three four decimal six ,0,,4.26084375,011_0109,2951.86078125
sm1,sm1_01,sm1_01_110,sm1,1,110,gulf air zero zero seven contact rhein one two seven decimal three seven ,0,,4.22837500,011_0110,2967.9145
sm1,sm1_01,sm1_01_111,sm1,1,111,europa three six three rhein radar identified proceed direct to frankfurt ,0,,4.59900000,011_0111,2997.0393125
sm1,sm1_01,sm1_01_112,sm1,1,112,britannia two two two alfa contact rhein one three two decimal four ,0,,4.50668750,011_0112,3040.635625
sm1,sm1_01,sm1_01_113,sm1,1,113,speedbird one two four contact rhein one two seven three seven good bye ,0,,4.79856250,011_0113,3219.539375
sm1,sm1_01,sm1_01_114,sm1,1,114,turkish five one five contact rhein one two seven three seven ,0,,4.06875000,011_0114,3230.05084375
sm1,sm1_01,sm1_01_115,sm1,1,115,lufthansa four four one six contact zurich one three four decimal six ,0,,4.40618750,011_0115,3265.68640625
sm1,sm1_01,sm1_01_116,sm1,1,116,lufthansa three five five six rhein radar identified turn left by ten degrees and climb flight level two six zero ,0,,8.62721875,011_0116,3281.25725
sm1,sm1_01,sm1_01_117,sm1,1,117,midland seven two zero rhein radar identified ,0,,2.24953125,011_0117,3345.37075
sm1,sm1_01,sm1_01_118,sm1,1,118,station calling say again ,0,,1.60868750,011_0118,3356.20121875
sm1,sm1_01,sm1_01_119,sm1,1,119,sabena nine three ah six nine rhein identified ,0,,5.89593750,011_0119,3364.80128125
sm1,sm1_01,sm1_01_120,sm1,1,120,hapag lloyd three five five one contact zurich one three three decimal four ,0,,4.13187500,011_0120,3379.45325
sm1,sm1_01,sm1_01_121,sm1,1,121,lufthansa three five five six climb flight level two nine zero ,0,,3.74765625,011_0121,3388.5485
sm1,sm1_01,sm1_01_122,sm1,1,122,alitalia two nine two rhein identified ,0,,2.51653125,011_0122,3404.166
sm1,sm1_01,sm1_01_123,sm1,1,123,lufthansa three five five six set course to trasadingen ,0,,3.36446875,011_0123,3420.70303125
sm1,sm1_01,sm1_01_124,sm1,1,124,~p ~s ~a five zero two hotel contact rhein one two three decimal four ,0,,4.06128125,011_0124,3433.25853125
sm1,sm1_01,sm1_01_125,sm1,1,125,speedbird one two two guten tag identified ,0,,2.90509375,011_0125,3484.81634375
sm1,sm1_01,sm1_01_126,sm1,1,126,alitalia four eight seven contact zurich one three four decimal six ,0,,3.88684375,011_0126,3496.9831875
sm1,sm1_01,sm1_01_127,sm1,1,127,alitalia one four nine rhein identified ,0,,3.43771875,011_0127,3512.23296875
sm1,sm1_01,sm1_01_128,sm1,1,128,midland seven two zero turn right by one five degrees ,0,,3.47703125,011_0128,3526.2053125
sm1,sm1_01,sm1_01_129,sm1,1,129,delta india charlie papa alfa contact zurich one three four decimal six ,0,,4.75250000,011_0129,3537.40525
sm1,sm1_01,sm1_01_130,sm1,1,130,britannia two three six alfa rhein radar identified ,0,,4.18053125,011_0130,3567.733125
sm1,sm1_01,sm1_01_131,sm1,1,131,oscar oscar papa hotel india contact rhein one three two decimal four ,0,,4.03725000,011_0131,3583.51628125
sm1,sm1_01,sm1_01_132,sm1,1,132,midland seven two zero climb flight level three five zero ,0,,3.25378125,011_0132,3612.74909375
sm1,sm1_01,sm1_01_133,sm1,1,133,sabena eight zero one rhein identified ,0,,2.57137500,011_0133,3707.2050625
sm1,sm1_01,sm1_01_134,sm1,1,134,alitalia one five seven rhein identified ,0,,2.45634375,011_0134,3714.85396875
sm1,sm1_01,sm1_01_135,sm1,1,135,netherlands air force three five contact rhein one three two decimal four ,0,,4.27768750,011_0135,3719.180125
sm1,sm1_01,sm1_01_136,sm1,1,136,midland seven two zero set course to costa ,0,,3.10290625,011_0136,3729.76778125
sm1,sm1_01,sm1_01_137,sm1,1,137,charlie oscar alfa ,0,,1.67090625,011_0137,3740.37415625
sm1,sm1_01,sm1_01_138,sm1,1,138,okay so make it november tango mike ,0,,3.06306250,011_0138,3752.83446875
sm1,sm1_01,sm1_01_139,sm1,1,139,midland seven two zero contact rhein one two seven three seven ,0,,3.60259375,011_0139,3757.66784375
sm1,sm1_01,sm1_01_140,sm1,1,140,lufthansa three five five six contact zurich one three four decimal six ,0,,4.82484375,011_0140,3769.8729375
sm1,sm1_01,sm1_01_141,sm1,1,141,sabena nine three six nine right turn to trasadingen ,0,,3.86362500,011_0141,3792.82446875
sm1,sm1_01,sm1_01_142,sm1,1,142,lufthansa three six three eight rhein radar identified climb flight level two seven zero ,0,,5.17675000,011_0142,3811.38815625
sm1,sm1_01,sm1_01_143,sm1,1,143,alitalia two nine two turn left to gotil ,0,,4.25553125,011_0143,3861.71653125
sm1,sm1_01,sm1_01_144,sm1,1,144,europa three six three contact rhein one two seven decimal three seven ,0,,4.86115625,011_0144,3872.70740625
sm1,sm1_01,sm1_01_145,sm1,1,145,speedbird one two two contact rhein one two seven decimal three seven ,0,,4.69562500,011_0145,3881.03396875
sm1,sm1_01,sm1_01_146,sm1,1,146,jet set four nine seven rhein radar identified ,0,,3.87953125,011_0146,3902.38484375
sm1,sm1_01,sm1_01_147,sm1,1,147,sabena nine three six nine turn right direct to foxtrot romeo india ,0,,5.82118750,011_0147,3914.337
sm1,sm1_01,sm1_01_148,sm1,1,148,delta india mike lima lima contact zurich one three four decimal six ,0,,4.78709375,011_0148,3926.97015625
sm1,sm1_01,sm1_01_149,sm1,1,149,condor two one eight rhein radar identified ,0,,2.88603125,011_0149,3948.22959375
sm1,sm1_01,sm1_01_150,sm1,1,150,alitalia four one three rhein identified climb flight level two five zero set course trasadingen ,0,,7.03434375,011_0150,3970.05303125
sm1,sm1_01,sm1_01_151,sm1,1,151,alitalia four six five rhein radar identified ,0,,3.31887500,011_0151,3999.62246875
sm1,sm1_01,sm1_01_152,sm1,1,152,swissair seven eight three romeo rhein identified ,0,,3.86356250,011_0152,4014.26025
sm1,sm1_01,sm1_01_153,sm1,1,153,alitalia two nine two contact rhein one two seven decimal three seven ,0,,4.39265625,011_0153,4021.43209375
sm1,sm1_01,sm1_01_154,sm1,1,154,[EMPTY] ,0,,0.37084375,011_0154,4034.41578125
sm1,sm1_01,sm1_01_155,sm1,1,155,hapag lloyd one three seven rhein radar identified ,0,,3.17581250,011_0155,4081.622375
sm1,sm1_01,sm1_01_156,sm1,1,156,speedbird three eight nine rhein identified ,0,,3.12690625,011_0156,4148.095625
sm1,sm1_01,sm1_01_157,sm1,1,157,sabena nine three six nine contact zurich one three four decimal six ,0,,4.54090625,011_0157,4157.20915625
sm1,sm1_01,sm1_01_158,sm1,1,158,britannia two three six alfa zurich one three three decimal four ,0,,4.05425000,011_0158,4167.82796875
sm1,sm1_01,sm1_01_159,sm1,1,159,alitalia one four nine zurich one three four decimal six ,0,,3.83053125,011_0159,4178.04621875
sm1,sm1_01,sm1_01_160,sm1,1,160,lufthansa three six three eight climb flight level three three zero ,0,,4.12709375,011_0160,4187.5171875
sm1,sm1_01,sm1_01_161,sm1,1,161,speedbird three eight nine climb flight level three one zero ,0,,4.20584375,011_0161,4218.170625
sm1,sm1_01,sm1_01_162,sm1,1,162,thank you ,0,,1.04984375,011_0162,4224.87528125
sm1,sm1_01,sm1_01_163,sm1,1,163,[FRAGMENT] ,0,,0.30793750,011_0163,4457.65590625
sm2,sm2_01,sm2_01_001,sm2,1,1,<OT> that's okay </OT> ,0,,0.86109375,011_0164,4460.00559375
sm2,sm2_01,sm2_01_002,sm2,1,2,europa seven four four is identified ,0,,3.37287500,011_0165,4474.46378125
sm2,sm2_01,sm2_01_003,sm2,1,3,britannia zero nine six alfa is identified ,0,,2.82703125,011_0166,4483.2774375
sm2,sm2_01,sm2_01_004,sm2,1,4,lufthansa four three nine zero identified climb flight level two seven two nine zero ,0,,6.43475000,011_0167,4490.8
sm2,sm2_01,sm2_01_005,sm2,1,5,is balkan four nine six still with me ,0,,2.03862500,011_0168,4504.73190625
sm2,sm2_01,sm2_01_006,sm2,1,6,europa seven four four contact now zurich ahm one three four decimal six good bye ,0,,5.45043750,011_0169,4512.94046875
sm2,sm2_01,sm2_01_007,sm2,1,7,britannia zero nine six alfa turn right direct to trasadingen ,0,,3.64046875,011_0170,4529.42465625
sm2,sm2_01,sm2_01_008,sm2,1,8,~l ~t ~u one two eight zero is identified you're cleared direct to trasadingen climb flight level two nine zero ,0,,6.01162500,011_0171,4546.5108125
sm2,sm2_01,sm2_01_009,sm2,1,9,lufthansa four three nine zero continue climb to flight level three one zero ,0,,4.06156250,011_0172,4562.027875
sm2,sm2_01,sm2_01_010,sm2,1,10,ah speedway two zero eight confirm you position still north of frankfurt ,0,,5.27343750,011_0173,4587.3169375
sm2,sm2_01,sm2_01_011,sm2,1,11,ah speedway two zero eight is identified however contact rhein one three two decimal four ,0,,5.02578125,011_0174,4599.48559375
sm2,sm2_01,sm2_01_012,sm2,1,12,lufthansa four three nine zero expedite your climb please ,0,,3.34443750,011_0175,4619.22003125
sm2,sm2_01,sm2_01_013,sm2,1,13,delta india hotel echo bravo is identified climb flight level two seven zero ,0,,4.17912500,011_0176,4649.10565625
sm2,sm2_01,sm2_01_014,sm2,1,14,emirates two is identified ,0,,1.95653125,011_0177,4663.9359375
sm2,sm2_01,sm2_01_015,sm2,1,15,lufthansa four three nine zero continue climb now to flight level three three zero and still expeditious climb please ,0,,6.29537500,011_0178,4669.82334375
sm2,sm2_01,sm2_01_016,sm2,1,16,affirm lufthansa four three nine zero contact zurich one three four decimal six ,0,,4.72906250,011_0179,4680.788125
sm2,sm2_01,sm2_01_017,sm2,1,17,delta echo bravo report your heading ,0,,1.95028125,011_0180,4751.97425
sm2,sm2_01,sm2_01_018,sm2,1,18,delta echo bravo turn left heading one seven zero ,0,,5.72362500,011_0181,4757.8245
sm2,sm2_01,sm2_01_019,sm2,1,19,britannia zero nine six alfa contact zurich one three three decimal four ,0,,4.71337500,011_0182,4771.0121875
sm2,sm2_01,sm2_01_020,sm2,1,20,~l ~t ~u one two eight zero report your heading ,0,,2.37471875,011_0183,4793.467375
sm2,sm2_01,sm2_01_021,sm2,1,21,~l ~t ~u one two eight zero turn right heading two hundred ,0,,3.15993750,011_0184,4803.3389375
sm2,sm2_01,sm2_01_022,sm2,1,22,~l ~t ~u one two eight zero i just received approval you're cleared from present position to hochwald which is hotel oscar charlie afterwards st prex flight planned route ,0,,9.55850000,011_0185,4813.63103125
sm2,sm2_01,sm2_01_023,sm2,1,23,delta echo bravo proceed own navigation to trasadingen ,0,,3.42353125,011_0186,4831.35053125
sm2,sm2_01,sm2_01_024,sm2,1,24,emirates two contact rhein one three two decimal four good bye ,0,,3.84115625,011_0187,4837.9911875
sm2,sm2_01,sm2_01_025,sm2,1,25,sobelair two five two one is identified i'll call you back ,0,,2.77325000,011_0188,4879.67875
sm2,sm2_01,sm2_01_026,sm2,1,26,airals one zero eight eight is identified you're cleared direct to fox fox mike ,0,,4.85975000,011_0189,4893.87609375
sm2,sm2_01,sm2_01_027,sm2,1,27,delta echo bravo continue climb to flight level two eight zero ,0,,2.95746875,011_0190,4902.148625
sm2,sm2_01,sm2_01_028,sm2,1,28,~l ~t ~u one two eight zero contact now zurich one three four decimal six you may expect higher ,0,,5.45371875,011_0191,4912.55721875
sm2,sm2_01,sm2_01_029,sm2,1,29,affirm ,0,,1.09206250,011_0192,4922.39146875
sm2,sm2_01,sm2_01_030,sm2,1,30,good bye ,0,,0.99846875,011_0193,4924.7195
sm2,sm2_01,sm2_01_031,sm2,1,31,lufthansa four four zero eight is identified proceed direct to tango romeo alfa climb to flight level two seven zero ,0,,7.90337500,011_0194,4932.06209375
sm2,sm2_01,sm2_01_032,sm2,1,32,sobelair two five two one climb flight level three three zero ,0,,3.36671875,011_0195,4951.6704375
sm2,sm2_01,sm2_01_033,sm2,1,33,delta echo bravo continue climb to flight level two nine zero ,0,,5.08387500,011_0196,4975.95628125
sm2,sm2_01,sm2_01_034,sm2,1,34,lufthansa four four zero eight continue climb to flight level two nine zero ,0,,4.52640625,011_0197,5017.500625
sm2,sm2_01,sm2_01_035,sm2,1,35,delta echo bravo turn right to hotel oscar charlie afterwards st prex flight planned route ,0,,5.58918750,011_0198,5048.8444375
sm2,sm2_01,sm2_01_036,sm2,1,36,that is correct delta echo bravo contact zurich one three four decimal six good bye ,0,,4.28290625,011_0199,5061.28553125
sm2,sm2_01,sm2_01_037,sm2,1,37,good afternoon air berlin five two five five identified you're cleared direct to frankfurt ,0,,4.55031250,011_0200,5149.11525
sm2,sm2_01,sm2_01_038,sm2,1,38,sobelair two five two one contact rhein radar one three two decimal four ,0,,4.45553125,011_0201,5311.55246875
sm2,sm2_01,sm2_01_039,sm2,1,39,bye ,0,,0.69040625,011_0202,5320.62528125
sm2,sm2_01,sm2_01_040,sm2,1,40,good afternoon tarom three seven two identified ,0,,2.73440625,011_0203,5325.31028125
sm2,sm2_01,sm2_01_041,sm2,1,41,swissair eight zero six is identified continue climb to flight level three one zero ,0,,4.25478125,011_0204,5470.53503125
sm2,sm2_01,sm2_01_042,sm2,1,42,swissair nine three six zero is identified expect higher in five minutes i'll call you back ,0,,5.84393750,011_0205,5485.2411875
