text,reference_text,speaker_id,duration,inference_time,sample_index
加油们,加油门,unknown,nan,0.5984072685241699,28
收油门收光油门,收油门收光油门,unknown,nan,1.0166282653808594,29
Wangan,稳杆,unknown,nan,0.6199400424957275,30
送干,松杆,unknown,nan,0.600294828414917,31
Thank you,带杆,unknown,nan,0.627507209777832,32
应改,迎杆,unknown,nan,0.6222677230834961,33
丁改,顶杆,unknown,nan,0.6664059162139893,34
放平多上左多,放平舵上左舵,unknown,nan,0.8384504318237305,35
停止起飞,停止起飞,unknown,nan,0.7912619113922119,36
中段起飞注意障碍物,中断起飞注意障碍物,unknown,nan,1.13189697265625,37
安检,安检,unknown,nan,0.674353837966919,38
换人,换人,unknown,nan,0.6795995235443115,39
关车报告,关车报告,unknown,nan,0.7857832908630371,40
如果收到的话,如收到的话,unknown,nan,0.7378559112548828,41
窑洞机翼,摇动机翼,unknown,nan,0.9000427722930908,42
如收到的话,如收到的话,unknown,nan,0.7357876300811768,43
闪亮着陆灯请求紧急下降优先着陆,闪亮着陆灯请求紧急下降优先着陆,unknown,nan,1.7288436889648438,44
立刻靠啥,立即跳伞,unknown,nan,0.8392560482025146,45
立即着陆,立即着陆,unknown,nan,0.7843353748321533,46
好区必要由量立即着陆,耗去必要油量立即着陆,unknown,nan,1.2111802101135254,47
中弯起飞,中断起飞,unknown,nan,0.8344173431396484,48
发动机故障发动机停车,发动机故障发动机停车,unknown,nan,1.2086341381072998,49
试试空中开车,试试空中开车,unknown,nan,1.0128083229064941,50
到高度2000,到高度2000,unknown,nan,0.7349855899810791,51
到高度2000还未开成就跳伞,到高度2000还未开成就跳伞,unknown,nan,1.2184312343597412,52
不放襟翼和起落架的下滑速度是317,不放襟翼和起落架的下滑速度是317,unknown,nan,1.684682846069336,53
公里每小时,公里每小时,unknown,nan,0.7752923965454102,54
抛掉座舱盖,抛掉座舱盖,unknown,nan,1.03633713722229,55
然有严重泄露,燃油严重泄漏,unknown,nan,1.0126643180847168,56
发动机着火,发动机着火,unknown,nan,0.7937331199645996,57
左起落架位放好,左起落架未放好,unknown,nan,0.9573650360107422,58
机上着火我正在破降,机上着火我正在迫降,unknown,nan,1.031240463256836,59
左起落架备放好,左起落架未放好,unknown,nan,1.0196127891540527,60
剩油警告灯亮,剩油警告灯亮,unknown,nan,0.9728379249572754,61
单发飞行,单发飞行,unknown,nan,0.7789201736450195,62
发动机拉烟,发动机拉烟,unknown,nan,0.8574416637420654,63
请求投掉复游箱,请求投掉副油箱,unknown,nan,1.0738258361816406,64
轮子放不下,轮子放不下,unknown,nan,0.8523423671722412,65
检查速度,检查速度,unknown,nan,0.7744443416595459,66
"Hello,本场场压",好的本场场压,unknown,nan,0.9162569046020508,67
73327332温度5度温度5度,7332 7332温度5度温度5度,unknown,nan,1.3857572078704834,68
呃50度风35米,呃50度风35米,unknown,nan,0.8975493907928467,69
He can only do about a half公里,地面能见度大于两公里,unknown,nan,1.0323638916015625,70
I'll be over,完毕,unknown,nan,0.7191882133483887,71
7332进跑道,7332进跑道,unknown,nan,0.854705810546875,72
35米着陆方向由西向东,35米着陆方向由西向东,unknown,nan,1.1260664463043213,73
好的着陆方向由西向东我落地以后不用加油你给我来个停车,好的着陆方向由西向东我落地以后不用加油你给我来个停车,unknown,nan,1.9060449600219727,74
啊下站联系1900,啊下站联系1900,unknown,nan,0.9492573738098145,75
好嘞一会见,好的一会见,unknown,nan,0.8519325256347656,76
You're a jack,一会见,unknown,nan,0.7225139141082764,77
"Your call, Webana",17进跑道,unknown,nan,0.7896771430969238,78
可以进跑道,可以进跑道,unknown,nan,0.7115683555603027,79
前面方向由西向东,起飞方向由西向东,unknown,nan,0.9670929908752441,80
No class,17,unknown,nan,0.5960292816162109,81
好的你现在可以继续下到场高12,好的你现在可以继续下到我场高12,unknown,nan,1.2637500762939453,82
